485	species011	121	141	Neisseria gonorrhoeae
487	species011	215	236	Neisseria meningitidis
487	species011	1634	1646	meningococcal
562	species069	96	111	Escherichia coli
562	species069	119	134	Escherichia coli
1280	species071	0	20	Staphylococcus aureus
1280	species071	84	89	newman
1280	species071	132	137	UAMS-1
1280	species071	153	158	Newman
1280	species071	333	353	Staphylococcus aureus
1280	species071	481	489	S. aureus
1280	species071	560	568	S. aureus
1280	species071	667	672	Newman
1280	species071	932	937	Newman
1280	species071	1288	1293	UAMS-1
1280	species071	1431	1436	Newman
1280	species071	1636	1641	Newman
1280	species071	1650	1655	UAMS-1
1280	species071	1736	1741	Newman
1280	species071	1791	1796	UAMS-1
615	species093	108	126	Serratia marcescens
615	species093	420	438	Serratia marcescens
615	species093	993	1005	S. marcescens
562	species108	27	42	Escherichia coli
487	species109	15	36	Neisseria meningitidis
487	species109	202	223	Neisseria meningitidis
9606	species109	328	332	human
487	species109	387	401	N. meningitidis
9986	species109	1140	1145	rabbit
95486	species110	4	27	Burkholderia cenocepacia
95486	species110	157	180	Burkholderia cenocepacia
107832	species110	1454	1471	Rhizoctonia solani
644	species111	141	160	Aeromonas hydrophila
1773	species112	111	136	Mycobacterium tuberculosis
1773	species112	465	479	M. tuberculosis
1773	species112	936	950	M. tuberculosis
1772	species112	1044	1055	M. smegmatis
1773	species112	1289	1303	M. tuberculosis
1772	species112	1318	1329	M. smegmatis
1773	species112	1351	1365	M. tuberculosis
1772	species112	1389	1400	M. smegmatis
1773	species112	1522	1536	M. tuberculosis
1772	species112	1578	1589	M. smegmatis
1773	species112	1842	1856	M. tuberculosis
348824	species113	47	72	Rhizobium sp. strain LPU83
348824	species113	662	687	Rhizobium sp. strain LPU83
3879	species113	733	739	alfalfa
3866	species113	752	771	Leucena leucocephala
3879	species113	896	902	alfalfa
382	species113	925	946	Sinorhizobium meliloti
110321	species113	952	972	Sinorhizobium medicae
57676	species113	1074	1103	Rhizobium mongolense USDA 1844
348824	species113	1127	1131	LPU83
348824	species113	1228	1232	LPU83
57676	species113	1254	1271	R. mongolense 1844
348824	species113	1314	1339	Rhizobium sp. strain LPU83
3879	species113	1366	1372	alfalfa
348824	species113	1630	1634	LPU83
348824	species113	1748	1754	LPU83-H
348824	species113	1851	1855	LPU83
3879	species113	1878	1884	alfalfa
1390	species114	77	108	Bacillus amyloliquefaciens FZB42
1390	species114	186	217	Bacillus amyloliquefaciens FZB42
1390	species114	471	496	B. amyloliquefaciens FZB42
1423	species115	51	67	Bacillus subtilis
1423	species115	431	484	strain Bacillus subtilis YB955 (hisC952 metB5 leuC427)
1423	species115	846	866	MutSL knockout strain
1423	species115	1552	1562	B. subtilis
1496	species116	44	64	Clostridium difficile
1496	species116	90	110	Clostridium difficile
1496	species116	162	173	C. difficile
1496	species116	303	314	C. difficile
1496	species116	438	449	C. difficile
1496	species116	684	695	C. difficile
1496	species116	1217	1228	C. difficile
1496	species116	1260	1271	C. difficile
1496	species116	1584	1595	C. difficile
1496	species116	1631	1642	C. difficile
1392	species117	64	81	Bacillus anthracis
1392	species117	129	146	Bacillus anthracis
1392	species117	1465	1476	B. anthracis
1392	species118	32	49	Bacillus anthracis
1392	species118	232	249	Bacillus anthracis
1392	species118	275	281	anthrax
1392	species118	502	513	B. anthracis
1392	species118	943	961	B. anthracis strain
10090	species118	1034	1038	mouse
1392	species118	1223	1234	B. anthracis
294	species120	73	103	Pseudomonas fluorescens Q8r1-96
294	species120	108	138	Pseudomonas fluorescens Q8r1-96
294	species120	419	425	Q8r1-96
317	species120	591	610	Pseudomonas syringae
294	species120	665	686	P. fluorescens strains
294	species120	744	750	Q8r1-96
317	species120	836	846	P. syringae
317	species120	1057	1067	P. syringae
294	species120	1073	1079	Q8r1-96
294	species120	1092	1098	Q8r1-96
294	species120	1231	1237	Q8r1-96
210	species121	117	135	Helicobacter pylori
210	species121	202	220	Helicobacter pylori
837	species122	77	100	Porphyromonas gingivalis
837	species122	105	128	Porphyromonas gingivalis
837	species122	571	583	P. gingivalis
1148	species123	94	126	Synechocystis sp. strain PCC 6803
1148	species123	375	407	Synechocystis sp. strain PCC 6803
196	species252	46	82	Campylobacter fetus subsp. venerealis
196	species252	215	233	Campylobacter fetus
195	species252	262	279	Campylobacter coli
562	species252	357	372	Escherichia coli
196	species252	378	385	C. fetus
196	species252	577	602	C. fetus subsp. venerealis
196	species252	700	707	C. fetus
196	species252	1040	1047	C. fetus
9606	species252	1155	1159	human
196	species252	1474	1481	C. fetus
104176	species285	75	111	Oscillochloris trichoides subsp. DG-6
